Name of affiliated standard sample;Test mode;Light source/angle;L*;a*;b*;400nm;410nm;420nm;430nm;440nm;450nm;460nm;470nm;480nm;490nm;500nm;510nm;520nm;530nm;540nm;550nm;560nm;570nm;580nm;590nm;600nm;610nm;620nm;630nm;640nm;650nm;660nm;670nm;680nm;690nm;700nm
-;M0;D50/2°;19,76;0,42;1,3;2,36;2,65;2,79;2,79;2,71;2,7;2,75;2,76;2,77;2,8;2,85;2,86;2,84;2,84;2,89;2,89;2,92;2,98;3,02;3,02;3;2,98;3,03;3,07;3,05;3,03;3;2,99;3;3,04;3,08
-;M0;D50/2°;79,51;-9,38;14,13;26,49;32,14;34,89;36,78;38,87;41,01;42,83;44,7;47,05;50,13;53,92;57,78;60,81;62,2;61,58;59,24;56,28;53,77;52,43;52,1;51,91;52,19;52,97;53,47;53,7;54,39;55,01;55,68;56,05;56,39;56,71
-;M0;D50/2°;79,46;-15,77;74,9;6,52;5,67;5,25;5,23;5,03;5,2;5,9;7,13;10,13;16,86;28,43;43,37;58,49;69,15;71,69;67,28;60,23;53,82;51,1;52,78;55,41;56,54;56,17;55,74;55,58;55,95;56,41;57,05;57,61;58,32;59,16
-;M0;D50/2°;96,29;-1,29;-2,73;66,25;72,99;78,84;84,8;92,19;98,01;100,35;99,92;97,95;95,29;92,67;91,71;92,1;93,1;93,24;91,57;89,32;87,85;87,78;89,02;89,43;89,06;89,2;89,44;89,73;90,76;91,29;91,42;90,78;90,18;89,67
-;M0;D50/2°;42,71;24,31;-40,05;29,3;34,64;36,69;38,16;39,77;40,18;38,37;34,83;29,98;24,26;18,83;14,62;11,82;10,43;9,87;9,33;8,65;8,65;10,25;13,13;15,65;16,87;16,61;16,52;17,45;19,29;21,27;22,7;23,42;24,02;24,59
-;M0;D50/2°;90,55;-0,71;-0,99;53,29;60,65;65,75;70,52;76,43;81,16;83,15;83,13;82,01;80,31;78,66;78,06;78,31;78,97;79,11;77,88;76,11;75,01;75,2;76,44;76,99;77,07;77,54;77,96;78,34;79,41;80,08;80,43;80,08;79,75;79,48
-;M0;D50/2°;87,51;-0,77;-0,89;48,28;55,64;60,38;64,68;69,97;74,23;76,03;76,08;75,19;73,8;72,49;72,05;72,23;72,65;72,59;71,31;69,52;68,41;68,65;69,93;70,57;70,78;71,26;71,65;72,04;73,12;73,86;74,3;74,08;73,86;73,7
-;M0;D50/2°;83,44;-0,12;-1,98;43,01;50,35;54,74;58,61;63,37;67,21;68,78;68,8;67,95;66,56;65,18;64,43;64,14;64,13;63,89;62,76;61,18;60,26;60,67;62,01;62,73;63,11;63,64;64,05;64,47;65,58;66,42;66,95;66,83;66,7;66,61
-;M0;D50/2°;78,08;0,11;-2,04;35,82;42,82;46,65;49,86;53,8;57;58,31;58,4;57,8;56,73;55,67;54,99;54,55;54,3;53,95;52,92;51,51;50,7;51,14;52,38;53,11;53,64;54,26;54,7;55,16;56,26;57,15;57,76;57,78;57,78;57,81
-;M0;D50/2°;72,06;0,44;-1,59;29,11;35,44;38,57;40,96;43,82;46,18;47,2;47,42;47,19;46,61;46,02;45,52;44,99;44,48;43,95;43,02;41,83;41,2;41,75;43;43,85;44,5;45,09;45,47;45,87;46,84;47,68;48,31;48,46;48,57;48,7
